Date/Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
16/12/2006/21:05:00,3.334,0.072,237.460,14.000,0.000,0.000,18.000
16/12/2006/19:37:00,3.382,0.130,232.420,14.400,0.000,2.000,17.000
16/12/2006/19:00:00,4.070,0.088,231.990,17.400,0.000,1.000,17.000
16/12/2006/22:25:00,2.428,0.070,239.680,10.000,0.000,0.000,0.000
17/12/2006/01:40:00,3.214,0.118,241.920,14.600,0.000,26.000,0.000
17/12/2006/00:35:00,1.004,0.094,242.000,5.600,0.000,0.000,0.000
16/12/2006/21:46:00,3.250,0.082,238.950,13.800,0.000,1.000,17.000
17/12/2006/01:36:00,3.746,0.106,240.360,15.600,0.000,25.000,0.000
16/12/2006/18:27:00,4.866,0.000,233.790,20.800,0.000,1.000,17.000
16/12/2006/19:32:00,3.372,0.132,233.200,14.400,0.000,2.000,17.000
16/12/2006/20:11:00,3.410,0.142,233.930,14.600,0.000,0.000,16.000
16/12/2006/21:33:00,3.368,0.000,236.120,14.200,0.000,0.000,17.000
16/12/2006/19:16:00,3.394,0.000,233.450,14.400,0.000,1.000,16.000
16/12/2006/22:34:00,2.346,0.052,240.050,9.600,0.000,0.000,0.000
17/12/2006/00:57:00,2.426,0.000,240.450,10.000,0.000,0.000,0.000
16/12/2006/20:40:00,3.232,0.078,233.630,13.800,0.000,0.000,17.000
16/12/2006/22:54:00,2.468,0.162,237.470,10.400,0.000,0.000,0.000
17/12/2006/01:30:00,3.652,0.000,240.110,15.200,0.000,22.000,0.000
16/12/2006/23:22:00,2.334,0.060,239.980,9.600,0.000,0.000,0.000
16/12/2006/17:45:00,7.706,0.000,230.980,33.200,0.000,0.000,17.000
17/12/2006/00:18:00,2.436,0.120,238.510,10.200,0.000,1.000,0.000
16/12/2006/18:52:00,2.322,0.000,233.440,9.800,0.000,0.000,17.000
16/12/2006/19:18:00,3.420,0.000,234.430,14.600,0.000,1.000,17.000
16/12/2006/23:58:00,2.764,0.066,241.270,11.400,0.000,1.000,0.000
16/12/2006/20:16:00,3.332,0.000,233.680,14.200,0.000,0.000,17.000
16/12/2006/18:31:00,2.912,0.050,235.810,12.400,0.000,1.000,17.000
16/12/2006/21:39:00,3.302,0.072,236.280,13.800,0.000,0.000,17.000
